B (mT),M (Am2/kg)
0.0,0.0
0.01,0.0
0.011233240329780276,0.0
0.012618568830660204,0.0
0.014174741629268055,0.0
0.015922827933410922,0.0
0.01788649529057435,0.0
0.02009233002565047,0.0
0.022570197196339202,0.0
0.025353644939701114,0.0
0.02848035868435802,0.0
0.03199267137797385,0.0
0.03593813663804628,0.0
0.040370172585965536,0.0
0.04534878508128582,0.0
0.0509413801481638,0.0
0.05722367659350217,0.0
0.06428073117284319,0.0
0.07220809018385464,0.0
0.08111308307896872,0.0
0.09111627561154892,0.0
0.10235310218990264,0.0
0.11497569953977356,0.0
0.1291549665014884,0.0
0.14508287784959395,0.0
0.16297508346206444,0.0
0.18307382802953678,0.0
0.20565123083486514,0.0
0.23101297000831592,0.0
0.25950242113997357,0.0
0.2915053062825176,0.0
0.32745491628777285,0.0
0.36783797718286326,0.0
0.41320124001153363,5.547553981474167e-17
0.464158883361278,2.2161287888313506e-16
0.5214008287999684,1.1121436478398585e-15
0.5857020818056667,5.615656081473297e-15
0.6579332246575679,2.6781377174320266e-14
0.739072203352578,1.2292768307207226e-13
0.8302175681319743,5.407844991055764e-13
0.9326033468832199,2.3219464875879738e-12
1.0476157527896652,9.374117882832722e-12
1.1768119524349978,3.687236047555766e-11
1.3219411484660286,1.3870377868447093e-10
1.484968262254465,5.0105968683776e-10
1.6681005372000592,1.7284108396917595e-09
1.873817422860383,5.801889079098655e-09
2.1049041445120196,1.8691893836267117e-08
2.364489412645407,5.7597109398678226e-08
2.656087782946687,1.6965801269633563e-07
2.9836472402833403,4.883908260670768e-07
3.351602650938841,1.3357045781178524e-06
3.7649358067924674,3.516124963921151e-06
4.229242874389499,8.872868450804152e-06
4.750810162102798,2.1411106347371585e-05
5.336699231206307,5.0935278372112626e-05
5.994842503189409,0.00011425223221736168
6.7341506577508214,0.0002464995846341171
7.56463327554629,0.0005172941620085394
8.497534359086439,0.0010387146941887133
9.545484566618338,0.0020125944309881813
10.722672220103231,0.0037596512887312474
12.045035402587823,0.0066948533518057214
13.530477745798061,0.011596527076930239
15.199110829529332,0.01915579764122904
17.073526474706906,0.030972185963450784
19.179102616724887,0.04782654650105273
21.544346900318846,0.07174663666608208
24.20128264794381,0.10388913845135726
27.1858824273294,0.14492258983620118
30.538555088334157,0.19490321402282332
34.30469286314919,0.25657482049392005
38.53528593710527,0.3248878767080037
43.28761281083057,0.40053247776512274
48.62601580065353,0.48133535126421984
54.62277217684343,0.5579663870591159
61.35907273413169,0.6386562682131162
68.92612104349695,0.7100610130315399
77.4263682681127,0.778110549654225
86.97490026177834,0.8298892822692143
97.70099572992247,0.8694107238142669
109.74987654930568,0.913987119746819
123.28467394420659,0.9422478928040936
138.48863713938718,0.9623005836998263
155.56761439304722,0.9754385984112672
174.7528400007683,0.9852230581334345
196.30406500402725,0.9977248258072101
220.51307399030455,0.9956915877968828
247.70763559917089,0.9959720689791473
278.2559402207126,0.9910410723050677
312.5715849688235,0.9971422917742431
351.11917342151276,1.0121212179279109
394.4206059437656,0.9985367023512742
443.06214575838777,1.0033359258193881
497.7023564332114,1.0272228007230881
559.0810182512223,0.9814167883934356
628.0291441834247,1.0033703695644687
705.4802310718645,0.9966442515848559
792.482898353917,1.000786482552677
890.2150854450392,0.9962624665031613
1000.0,0.9992671246177712
